"tax_id","parent_id","rank","tax_name","root","below_root","below_below_root","below_below_below_root","superkingdom","below_superkingdom","below_below_superkingdom","below_below_below_superkingdom","below_below_below_below_superkingdom","below_below_below_below_below_superkingdom","phylum","below_phylum","below_below_phylum","subphylum","class","below_class","below_below_class","below_below_below_class","subclass","order","below_order","below_below_order","suborder","family","below_family","below_below_family","below_below_below_family","tribe","genus","below_genus","subgenus","species_group","species_subgroup","below_species_subgroup","species","below_species","below_below_species","subspecies","below_subspecies","below_below_subspecies"
"1619044","1752731","species","Candidatus Magasanikbacteria bacterium GW2011_GWA2_56_11","1","131567","","","2","2323","1783234","1783273","1794811","","1752731","","","","","","","","","","","","","","","","","","","","","","","","1619044","","","","",""
"1619046","1752731","species","Candidatus Magasanikbacteria bacterium GW2011_GWC2_37_14","1","131567","","","2","2323","1783234","1783273","1794811","","1752731","","","","","","","","","","","","","","","","","","","","","","","","1619046","","","","",""
"1619049","1752731","species","Candidatus Magasanikbacteria bacterium GW2011_GWC2_42_27","1","131567","","","2","2323","1783234","1783273","1794811","","1752731","","","","","","","","","","","","","","","","","","","","","","","","1619049","","","","",""
"671143","1170227","species","Candidatus Methylomirabilis oxyfera","1","131567","","","2","2323","1783234","","","","640293","","","","","","","","","","","","","","","","","","1170227","","","","","","671143","","","","",""
"1581557","1679002","species","Candidatus Methylopumilus planktonicus","1","131567","","","2","","","","","","1224","","","","28216","","","","","32003","","","","32011","","","","","1679002","","","","","","1581557","","","","",""
"1581680","1679002","species","Candidatus Methylopumilus turicensis","1","131567","","","2","","","","","","1224","","","","28216","","","","","32003","","","","32011","","","","","1679002","","","","","","1581680","","","","",""
"41950","41949","species","Candidatus Microthrix parvicella","1","131567","","","2","1783272","","","","","201174","","","","84992","","","","","84993","","","","1798913","","","","","41949","","","","","","41950","","","","",""
"234827","411566","species","Candidatus Midichloria mitochondrii","1","131567","","","2","","","","","","1224","","","","28211","","","","","766","","","","1328881","","","","","411566","","","","","","234827","","","","",""
"1618699","1752737","species","Candidatus Moranbacteria bacterium GW2011_GWC2_40_12","1","131567","","","2","2323","1783234","1783273","1794811","","1752737","","","","","","","","","","","","","","","","","","","","","","","","1618699","","","","",""
"1618712","1752737","species","Candidatus Moranbacteria bacterium GW2011_GWE2_35_2-","1","131567","","","2","2323","1783234","1783273","1794811","","1752737","","","","","","","","","","","","","","","","","","","","","","","","1618712","","","","",""
"1618715","1752737","species","Candidatus Moranbacteria bacterium GW2011_GWF1_34_10","1","131567","","","2","2323","1783234","1783273","1794811","","1752737","","","","","","","","","","","","","","","","","","","","","","","","1618715","","","","",""
"1618718","1752737","species","Candidatus Moranbacteria bacterium GW2011_GWF1_36_78","1","131567","","","2","2323","1783234","1783273","1794811","","1752737","","","","","","","","","","","","","","","","","","","","","","","","1618718","","","","",""
"1048758","1048757","species","Candidatus Moranella endobia","1","131567","","","2","","","","","","1224","","","","1236","","","","","91347","","","","543","","","","","1048757","","","","","","1048758","","","","",""
"467750","467749","species","Candidatus Neoehrlichia lotoris","1","131567","","","2","","","","","","1224","","","","28211","","","","","766","","","","942","","","","","467749","","","","","","467750","","","","",""
"1715989","1234","species","Candidatus Nitrospira inopinata","1","131567","","","2","","","","","","40117","","","","203693","","","","","189778","","","","189779","","","","","1234","","","","","","1715989","","","","",""
"84647","84646","species","Candidatus Odyssella thessalonicensis","1","131567","","","2","","","","","","1224","","","","28211","","","","","1921002","","","","1777752","","","","","84646","","","","","","84647","","","","",""
"1609969","1431823","species","Candidatus Omnitrophus magneticus","1","131567","","","2","1783257","","","","","67812","","","","","","","","","","","","","","","","","","1431823","","","","","","1609969","","","","",""
